time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/approx_kl,train/loss,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/std
110900,109,15000.0,-1857220.580626,2184,4,0.0,759026.75,5535,0.0,0.2,0.0003,1670333.375,0.28538286685943604,-5.388259829430808e-08,-2.841125011444092,1.0016287565231323
111000,110,15000.0,-1857220.580626,2203,4,0.0,619001.25,5540,0.0,0.2,0.0003,1379793.6,0.21480250358581543,-5.292892470976085e-08,-2.841126489639282,1.0016292333602905
111100,111,15000.0,-1857220.580626,2222,4,0.0,1213762.0,5545,0.0,0.2,0.0003,2611949.7,-0.0481797456741333,-2.989768947969651e-07,-2.8411274909973145,1.00162935256958
111200,112,15000.0,-1857220.580626,2243,4,0.0,133137.59375,5550,0.0,0.2,0.0003,292335.75625,-0.33875560760498047,-6.741285083933235e-07,-2.8411259174346926,1.0016257762908936
111300,113,15000.0,-1857220.580626,2262,4,0.0,159021.078125,5555,0.0,0.2,0.0003,370730.4125,-4.568664073944092,-1.5850066944267382e-06,-2.841114044189453,1.0016169548034668
111400,114,15000.0,-1857220.580626,2283,4,0.0,487421.90625,5560,0.0,0.2,0.0003,1055721.425,-0.23817825317382812,-9.326934700126799e-07,-2.841095972061157,1.0016090869903564
111500,115,15000.0,-1857220.580626,2302,4,5.9604643e-10,129007.7890625,5565,0.0,0.2,0.0003,270970.15625,-3.400376319885254,-9.386062552962926e-06,-2.841080570220947,1.0015987157821655
111600,116,15000.0,-1857220.580626,2321,4,5.3644182e-09,2076812.75,5570,0.0,0.2,0.0003,4440769.0,0.11450600624084473,-1.3221263991169963e-05,-2.841055917739868,1.0015863180160522
111700,117,15000.0,-1857220.580626,2340,4,0.0,319417.8125,5575,0.0,0.2,0.0003,706989.475,-0.6333457231521606,-3.713369356006524e-07,-2.841035175323486,1.0015792846679688
111800,118,15000.0,-1857220.580626,2360,4,0.0,271379.0625,5580,0.0,0.2,0.0003,648186.9625,0.14549016952514648,-3.551602399021192e-06,-2.8410245418548583,1.0015760660171509
111900,119,15000.0,-1857220.580626,2379,5,0.0,1255810.625,5585,0.0,0.2,0.0003,2704905.65,-0.4067190885543823,3.5023688411683905e-07,-2.84101939201355,1.0015740394592285
112000,120,15000.0,-1857220.580626,2398,5,0.0,41090.36328125,5590,0.0,0.2,0.0003,87577.59375,-2.047273874282837,-1.0766983017163056e-06,-2.841017961502075,1.0015783309936523
112100,121,15000.0,-1857220.580626,2418,5,4.7683715e-09,46223.0,5595,0.0,0.2,0.0003,90795.4640625,-0.37129807472229004,-1.2811302942239423e-05,-2.8410196781158445,1.0015677213668823
112200,122,15000.0,-1857220.580626,2438,5,1.1920929e-09,61631.50390625,5600,0.0,0.2,0.0003,130570.009375,-1.531459093093872,5.245923970420563e-06,-2.840992784500122,1.0015528202056885
112300,123,15000.0,-1857220.580626,2458,5,0.0,126445.2109375,5605,0.0,0.2,0.0003,266342.103125,0.23112285137176514,4.560708990553053e-06,-2.8409651279449464,1.0015411376953125
112400,124,15000.0,-1857220.580626,2477,5,0.0,70388.125,5610,0.0,0.2,0.0003,156216.26875,-1.698258638381958,-5.887746954869044e-07,-2.8409460544586183,1.0015348196029663
112500,125,15000.0,-1857220.580626,2495,5,0.0,397626.84375,5615,0.0,0.2,0.0003,898823.8875,0.27910470962524414,-1.6078948924302948e-06,-2.84093599319458,1.0015308856964111
112600,126,15000.0,-1857220.580626,2515,5,0.0,880572.1875,5620,0.0,0.2,0.0003,1950090.425,-0.1864626407623291,-1.7511844632167595e-07,-2.8409286022186278,1.0015274286270142
