time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/approx_kl,train/entropy_loss,train/value_loss,train/learning_rate,train/loss,train/clip_range,train/clip_fraction,train/n_updates,train/std,train/explained_variance,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1220,10700,107,8,0.0,-2.840343713760376,11138985.8,0.0003,5515705.5,0.2,0.0,530,1.0012362003326416,-0.030550718307495117,-2.4867057391020353e-07,,
1234,10800,108,8,0.0,-2.840344047546387,11027905.2,0.0003,5454942.5,0.2,0.0,535,1.0012365579605103,-0.019430875778198242,-2.5033951445152525e-07,,
1250,10900,109,8,0.0,-2.840345525741577,13286773.4,0.0003,6574219.0,0.2,0.0,540,1.0012379884719849,0.06563353538513184,-4.69684597170783e-07,,
1271,11000,110,8,0.0,-2.8403480529785154,8442751.2,0.0003,4170045.5,0.2,0.0,545,1.0012383460998535,-0.22652661800384521,-3.6668777028125985e-07,,
1293,11100,111,8,0.0,-2.8403485298156737,6406539.4,0.0003,3161188.5,0.2,0.0,550,1.0012389421463013,0.1665021777153015,-3.979206127269208e-07,,
1312,11200,112,8,0.0,-2.840350103378296,14881921.6,0.0003,7375816.5,0.2,0.0,555,1.0012401342391968,0.03339618444442749,1.0728835997397823e-07,,
1332,11300,113,8,0.0,-2.840351867675781,16810495.4,0.0003,8329995.0,0.2,0.0,560,1.0012398958206177,0.033144235610961914,-1.7571448758246787e-07,,
1351,11400,114,8,0.0,-2.8403507709503173,7019182.4,0.0003,3462764.75,0.2,0.0,565,1.0012397766113281,0.06035035848617554,-2.336502546995689e-08,,
1370,11500,115,8,0.0,-2.8403513431549072,3927928.45,0.0003,1931986.875,0.2,0.0,570,1.0012403726577759,0.06577295064926147,2.5868418163099706e-08,,
1388,11600,116,8,0.0,-2.8403523445129393,2435996.95,0.0003,1192396.5,0.2,0.0,575,1.0012407302856445,-0.09281432628631592,-6.999969343723933e-07,,
1406,11700,117,8,0.0,-2.8403525829315184,2675506.95,0.0003,1310007.875,0.2,0.0,580,1.0012407302856445,-0.04304993152618408,2.70843507621521e-07,,
1424,11800,118,8,0.0,-2.840352773666382,7681088.7,0.0003,3795892.25,0.2,0.0,585,1.001240849494934,-0.036110639572143555,-1.6951560866118598e-07,,
1442,11900,119,8,0.0,-2.8403525829315184,10451886.6,0.0003,5163046.0,0.2,0.0,590,1.0012401342391968,0.051909446716308594,-3.0839443923014185e-07,,
1461,12000,120,8,0.0,-2.8403508186340334,12503782.2,0.0003,6181458.0,0.2,0.0,595,1.00123929977417,0.018139779567718506,-1.863718006234194e-06,,
1479,12100,121,8,0.0,-2.8403491497039797,4702964.1,0.0003,2310036.0,0.2,0.0,600,1.0012383460998535,0.13083648681640625,-8.606910739672458e-08,,
1497,12200,122,8,0.0,-2.8403475284576416,3990143.4,0.0003,1958789.75,0.2,0.0,605,1.0012376308441162,0.12299925088882446,-1.410603562135293e-06,,
1518,12300,123,8,0.0,-2.840347099304199,3059446.6,0.0003,1497726.75,0.2,0.0,610,1.0012383460998535,-0.012487411499023438,-1.2791156898117606e-07,,
1536,12400,124,8,0.0,-2.840348720550537,4371422.6,0.0003,2146660.5,0.2,0.0,615,1.0012391805648804,0.05845320224761963,-1.220583936856201e-06,,
1553,12500,125,8,0.0,-2.8403491497039797,2495335.15,0.0003,1218388.375,0.2,0.0,620,1.0012378692626953,-0.11164236068725586,-5.896091550994242e-07,,
1571,12600,126,8,0.0,-2.840345335006714,2414708.35,0.0003,1177917.25,0.2,0.0,625,1.001235842704773,-0.04024231433868408,-2.6317238560835677e-06,,
1588,12700,127,7,0.0,-2.840340805053711,2646128.75,0.0003,1291222.625,0.2,0.0,630,1.0012331008911133,-0.03756284713745117,-6.759166581105091e-07,,
1605,12800,128,7,0.0,-2.8403353691101074,3139513.05,0.0003,1533589.75,0.2,0.0,635,1.0012303590774536,0.13758498430252075,1.1301041045186366e-07,,
1624,12900,129,7,0.0,-2.8403313159942627,2302847.65,0.0003,1121589.0,0.2,0.0,640,1.0012295246124268,-0.07549047470092773,-8.225440950582197e-08,,
1642,13000,130,7,0.0,-2.84032998085022,2471013.4,0.0003,1201612.875,0.2,0.0,645,1.0012282133102417,0.08671540021896362,-3.9660930184481913e-07,,
1660,13100,131,7,0.0,-2.840326690673828,3243625.3,0.0003,1583799.25,0.2,0.0,650,1.0012266635894775,0.06834834814071655,-1.0681152389224735e-07,,
1678,13200,132,7,0.0,-2.840323495864868,3248377.5,0.0003,1584851.25,0.2,0.0,655,1.0012249946594238,-0.02169644832611084,-3.5643578071287153e-07,,
